"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)"
6.668382610E-1,-1.340000033E-1,-2.980000079E-1,-6.650000215E-1
6.717743860E-1,-1.340000033E-1,-2.980000079E-1,-6.650000215E-1
6.767102390E-1,4.399999976E-1,-8.699999750E-2,3.140000105E-1
6.816461340E-1,4.399999976E-1,-8.699999750E-2,3.140000105E-1
6.865820290E-1,4.399999976E-1,-8.699999750E-2,3.140000105E-1
6.915184980E-1,4.180000126E-1,-5.900000036E-2,6.899999976E-1
6.964551290E-1,4.180000126E-1,-5.900000036E-2,6.899999976E-1
7.013917600E-1,4.180000126E-1,-5.900000036E-2,6.899999976E-1
7.063286010E-1,2.370000035E-1,-4.300000146E-2,4.420000017E-1
7.112655920E-1,2.370000035E-1,-4.300000146E-2,4.420000017E-1
7.162025830E-1,2.370000035E-1,-4.300000146E-2,4.420000017E-1
7.211392610E-1,1.529999971E-1,-8.299999684E-2,3.140000105E-1
7.260755160E-1,1.529999971E-1,-8.299999684E-2,3.140000105E-1
7.310117710E-1,1.529999971E-1,-8.299999684E-2,3.140000105E-1
7.359482510E-1,-3.580000103E-1,-2.619999945E-1,-7.770000100E-1
7.408856720E-1,-3.580000103E-1,-2.619999945E-1,-7.770000100E-1
7.458230930E-1,-3.580000103E-1,-2.619999945E-1,-7.770000100E-1
7.507605110E-1,-3.580000103E-1,-2.619999945E-1,-7.770000100E-1
7.556967070E-1,-2.109999955E-1,-1.199999973E-1,-7.129999995E-1
7.606329420E-1,-2.109999955E-1,-1.199999973E-1,-7.129999995E-1
7.655691770E-1,-2.109999955E-1,-1.199999973E-1,-7.129999995E-1
7.705048130E-1,3.219999969E-1,-3.700000048E-2,1.819999963E-1
7.754402980E-1,3.219999969E-1,-3.700000048E-2,1.819999963E-1
7.803757830E-1,3.219999969E-1,-3.700000048E-2,1.819999963E-1
7.853114430E-1,2.500000000E-1,1.710000038E-1,5.899999738E-1
7.902472340E-1,2.500000000E-1,1.710000038E-1,5.899999738E-1
7.951830250E-1,2.500000000E-1,1.710000038E-1,5.899999738E-1
8.001188850E-1,5.370000005E-1,1.369999945E-1,6.970000267E-1
8.050548460E-1,5.370000005E-1,1.369999945E-1,6.970000267E-1
8.099908070E-1,5.370000005E-1,1.369999945E-1,6.970000267E-1
8.149266960E-1,-1.251999974E0,-1.850000024E-1,9.549999833E-1
8.198624670E-1,-1.251999974E0,-1.850000024E-1,9.549999833E-1
8.247982380E-1,-1.251999974E0,-1.850000024E-1,9.549999833E-1
8.297340060E-1,-1.251999974E0,-1.850000024E-1,9.549999833E-1
8.346703040E-1,-5.109999776E-1,-6.899999976E-1,1.300000027E-2
8.396066250E-1,-5.109999776E-1,-6.899999976E-1,1.300000027E-2
8.445429460E-1,-5.109999776E-1,-6.899999976E-1,1.300000027E-2
8.494798930E-1,-2.560000122E-1,-2.060000002E-1,-3.689999878E-1
8.544170040E-1,-2.560000122E-1,-2.060000002E-1,-3.689999878E-1
8.593541150E-1,-2.560000122E-1,-2.060000002E-1,-3.689999878E-1
8.642902290E-1,3.140000105E-1,-1.040000021E-1,-7.299999893E-2
8.692257440E-1,3.140000105E-1,-1.040000021E-1,-7.299999893E-2
8.741612590E-1,3.140000105E-1,-1.040000021E-1,-7.299999893E-2
8.790967560E-1,2.860000134E-1,-3.099999949E-2,2.319999933E-1
8.840322170E-1,2.860000134E-1,-3.099999949E-2,2.319999933E-1
8.889676780E-1,2.860000134E-1,-3.099999949E-2,2.319999933E-1
8.939034340E-1,6.000000052E-3,-6.700000167E-2,3.779999912E-1
8.988403490E-1,6.000000052E-3,-6.700000167E-2,3.779999912E-1
9.037772640E-1,6.000000052E-3,-6.700000167E-2,3.779999912E-1
9.087141790E-1,6.000000052E-3,-6.700000167E-2,3.779999912E-1
9.136505190E-1,1.309999973E-1,4.199999943E-2,4.950000048E-1
9.185868940E-1,1.309999973E-1,4.199999943E-2,4.950000048E-1
9.235232690E-1,1.309999973E-1,4.199999943E-2,4.950000048E-1
9.284592400E-1,2.529999912E-1,9.999999776E-3,3.980000019E-1
9.333951110E-1,2.529999912E-1,9.999999776E-3,3.980000019E-1
9.383309820E-1,2.529999912E-1,9.999999776E-3,3.980000019E-1
9.432674730E-1,5.609999895E-1,2.140000015E-1,2.860000134E-1
9.482043680E-1,5.609999895E-1,2.140000015E-1,2.860000134E-1
9.531412630E-1,5.609999895E-1,2.140000015E-1,2.860000134E-1
9.580780590E-1,-4.100000113E-2,1.630000025E-1,-3.000000119E-1
9.630148200E-1,-4.100000113E-2,1.630000025E-1,-3.000000119E-1
9.679515810E-1,-4.100000113E-2,1.630000025E-1,-3.000000119E-1
9.728883220E-1,7.199999690E-2,-3.999999911E-2,-3.000000119E-1
9.778249570E-1,7.199999690E-2,-3.999999911E-2,-3.000000119E-1
9.827615920E-1,7.199999690E-2,-3.999999911E-2,-3.000000119E-1
9.876982270E-1,7.199999690E-2,-3.999999911E-2,-3.000000119E-1
9.926339790E-1,1.599999964E-1,1.539999992E-1,5.400000140E-2
9.975697540E-1,1.599999964E-1,1.539999992E-1,5.400000140E-2
1.002505529E0,1.599999964E-1,1.539999992E-1,5.400000140E-2
1.007442698E0,4.140000045E-1,4.050000012E-1,2.189999968E-1
1.012380189E0,4.140000045E-1,4.050000012E-1,2.189999968E-1
1.017317680E0,4.140000045E-1,4.050000012E-1,2.189999968E-1
1.022254350E0,-6.100000069E-2,2.879999876E-1,3.869999945E-1
1.027190511E0,-6.100000069E-2,2.879999876E-1,3.869999945E-1
1.032126672E0,-6.100000069E-2,2.879999876E-1,3.869999945E-1
1.037062458E0,-2.489999980E-1,3.299999982E-2,1.979999989E-1
1.041997753E0,-2.489999980E-1,3.299999982E-2,1.979999989E-1
1.046933048E0,-2.489999980E-1,3.299999982E-2,1.979999989E-1
1.051868454E0,-2.890000045E-1,-1.070000008E-1,-1.519999951E-1
1.056804195E0,-2.890000045E-1,-1.070000008E-1,-1.519999951E-1
1.061739936E0,-2.890000045E-1,-1.070000008E-1,-1.519999951E-1
1.066675674E0,-2.890000045E-1,-1.070000008E-1,-1.519999951E-1
1.071611362E0,-1.710000038E-1,-6.700000167E-2,-2.569999993E-1
1.076547037E0,-1.710000038E-1,-6.700000167E-2,-2.569999993E-1
1.081482712E0,-1.710000038E-1,-6.700000167E-2,-2.569999993E-1
1.086418973E0,-2.919999957E-1,-1.689999998E-1,-1.099999994E-2
1.091355314E0,-2.919999957E-1,-1.689999998E-1,-1.099999994E-2
1.096291655E0,-2.919999957E-1,-1.689999998E-1,-1.099999994E-2
1.101227293E0,-1.599999964E-1,-1.609999985E-1,3.849999905E-1
1.106162494E0,-1.599999964E-1,-1.609999985E-1,3.849999905E-1
1.111097695E0,-1.599999964E-1,-1.609999985E-1,3.849999905E-1
1.116033083E0,-1.019999981E-1,-1.700000018E-1,2.759999931E-1
1.120968658E0,-1.019999981E-1,-1.700000018E-1,2.759999931E-1
1.125904233E0,-1.019999981E-1,-1.700000018E-1,2.759999931E-1
1.130839706E0,-4.699999839E-2,-1.110000014E-1,-5.400000140E-2
1.135774807E0,-4.699999839E-2,-1.110000014E-1,-5.400000140E-2
1.140709908E0,-4.699999839E-2,-1.110000014E-1,-5.400000140E-2
1.145645006E0,-4.699999839E-2,-1.110000014E-1,-5.400000140E-2
1.150580454E0,-9.000000358E-2,-1.400000006E-1,2.500000037E-2
1.155515835E0,-9.000000358E-2,-1.400000006E-1,2.500000037E-2
1.160451216E0,-9.000000358E-2,-1.400000006E-1,2.500000037E-2
1.165387480E0,-8.399999887E-2,3.000000026E-3,3.400000185E-2
1.170323915E0,-8.399999887E-2,3.000000026E-3,3.400000185E-2
1.175260350E0,-8.399999887E-2,3.000000026E-3,3.400000185E-2
1.180196283E0,-4.300000146E-2,9.899999946E-2,-6.300000101E-2
1.185131888E0,-4.300000146E-2,9.899999946E-2,-6.300000101E-2
1.190067493E0,-4.300000146E-2,9.899999946E-2,-6.300000101E-2
1.195003547E0,-2.400000021E-2,7.599999756E-2,-1.589999944E-1
1.199940178E0,-2.400000021E-2,7.599999756E-2,-1.589999944E-1
1.204876809E0,-2.400000021E-2,7.599999756E-2,-1.589999944E-1
1.209813511E0,-5.600000173E-2,6.800000370E-2,5.700000003E-2
1.214750336E0,-5.600000173E-2,6.800000370E-2,5.700000003E-2
1.219687161E0,-5.600000173E-2,6.800000370E-2,5.700000003E-2
1.224623986E0,-5.600000173E-2,6.800000370E-2,5.700000003E-2
1.229559613E0,-2.290000021E-1,-1.000000047E-3,2.610000074E-1
1.234495268E0,-2.290000021E-1,-1.000000047E-3,2.610000074E-1
1.239430923E0,-2.290000021E-1,-1.000000047E-3,2.610000074E-1
1.244366358E0,-2.210000008E-1,4.999999888E-3,7.199999690E-2
1.249301749E0,-2.210000008E-1,4.999999888E-3,7.199999690E-2
1.254237140E0,-2.210000008E-1,4.999999888E-3,7.199999690E-2
1.259172477E0,1.640000045E-1,1.780000031E-1,-1.439999938E-1
1.264107768E0,1.640000045E-1,1.780000031E-1,-1.439999938E-1
1.269043059E0,1.640000045E-1,1.780000031E-1,-1.439999938E-1
1.273978255E0,-1.340000033E-1,-3.200000152E-2,-1.560000032E-1
1.278913356E0,-1.340000033E-1,-3.200000152E-2,-1.560000032E-1
1.283848457E0,-1.340000033E-1,-3.200000152E-2,-1.560000032E-1
1.288783697E0,-4.899999872E-2,-3.700000048E-2,-1.959999949E-1
